id,amount,payment_date,customer_policy
0,890,16/10/2019,null
0,467,24/01/2019,null
0,772,18/04/2019,null
0,996,07/10/2019,null
0,598,21/10/2019,null
0,986,25/07/2019,null
0,554,08/03/2019,null
0,213,25/02/2019,null
0,311,27/08/2019,null
0,821,03/08/2019,null
0,403,27/12/2019,null
0,679,04/07/2019,null
0,898,14/11/2019,null
0,380,14/04/2019,null
0,996,23/02/2019,null
0,574,23/11/2019,null
0,648,30/08/2019,null
0,298,01/07/2019,null
0,318,17/07/2019,null
0,571,04/03/2019,null
0,638,01/06/2019,null
0,761,01/03/2019,null
0,925,10/12/2019,null
0,364,12/06/2019,null
0,315,31/05/2019,null
0,890,17/06/2019,null
0,398,26/05/2019,null
0,920,24/01/2019,null
0,668,08/04/2019,null
0,737,26/06/2019,null
0,137,12/06/2019,null
0,672,31/07/2019,null
0,377,10/05/2019,null
0,367,05/03/2019,null
0,597,23/12/2019,null
0,648,10/08/2019,null
0,837,11/04/2019,null
0,279,06/01/2019,null
0,494,30/05/2019,null
0,333,20/04/2019,null
0,714,29/10/2019,null
0,477,17/08/2019,null
0,268,07/10/2019,null
0,507,11/08/2019,null
0,295,23/02/2019,null
0,605,08/06/2019,null
0,879,19/07/2019,null
0,764,18/05/2019,null
0,426,09/06/2019,null
0,934,05/09/2019,null
0,563,23/01/2019,null
0,206,24/02/2019,null
0,491,26/01/2019,null
0,809,04/06/2019,null
0,963,09/05/2019,null
0,682,10/04/2019,null
0,341,11/08/2019,null
0,107,05/12/2019,null
0,435,12/08/2019,null
0,175,04/03/2019,null
0,273,20/06/2019,null
0,960,01/09/2019,null
0,358,15/08/2019,null
0,205,11/09/2019,null
0,536,09/08/2019,null
0,743,02/08/2019,null
0,531,29/09/2019,null
0,346,30/10/2019,null
0,508,27/06/2019,null
0,653,05/03/2019,null
0,856,06/08/2019,null
0,376,26/09/2019,null
0,923,29/12/2019,null
0,861,28/09/2019,null
0,901,05/10/2019,null
0,135,03/08/2019,null
0,546,20/01/2019,null
0,313,01/01/2019,null
0,672,11/08/2019,null
0,334,29/12/2019,null
0,942,14/02/2019,null
0,641,01/12/2019,null
0,495,24/07/2019,null
0,530,16/10/2019,null
0,674,03/11/2019,null
0,812,07/01/2019,null
0,981,21/11/2019,null
0,229,07/01/2019,null
0,150,21/02/2019,null
0,556,29/03/2019,null
0,562,22/05/2019,null
0,554,24/02/2019,null
0,111,07/01/2019,null
0,452,10/10/2019,null
0,577,01/12/2019,null
0,845,26/11/2019,null
0,624,09/11/2019,null
0,858,05/05/2019,null
0,720,05/11/2019,null
0,791,21/03/2019,null
0,924,23/01/2019,null
0,959,27/02/2019,null
0,901,19/02/2019,null
0,703,11/05/2019,null
0,736,21/05/2019,null
0,442,08/02/2019,null
0,740,04/08/2019,null
0,198,07/06/2019,null
0,136,29/01/2019,null
0,771,22/12/2019,null
0,948,20/02/2019,null
0,964,03/05/2019,null
0,813,04/12/2019,null
0,336,08/06/2019,null
0,419,30/12/2019,null
0,359,19/05/2019,null
0,360,30/08/2019,null
0,339,07/04/2019,null
0,949,07/05/2019,null
0,298,03/06/2019,null
0,750,26/01/2019,null
0,450,04/06/2019,null
0,598,20/04/2019,null
0,846,21/03/2019,null
0,968,08/11/2019,null
0,514,01/10/2019,null
0,574,02/01/2019,null
0,170,13/12/2019,null
0,867,20/10/2019,null
0,116,21/08/2019,null
0,541,07/03/2019,null
0,553,02/11/2019,null
0,872,08/08/2019,null
0,380,14/02/2019,null
0,448,02/09/2019,null
0,848,04/07/2019,null
0,383,13/12/2019,null
0,355,22/01/2019,null
0,378,19/06/2019,null
0,941,15/12/2019,null
0,815,19/08/2019,null
0,994,12/03/2019,null
0,968,12/07/2019,null
0,240,27/06/2019,null
0,302,20/10/2019,null
0,322,22/04/2019,null
0,769,28/01/2019,null
0,759,20/11/2019,null
0,530,01/04/2019,null
0,427,22/10/2019,null
0,675,13/06/2019,null
0,727,16/05/2019,null
0,848,22/07/2019,null
0,897,03/12/2019,null
0,136,11/03/2019,null
0,538,19/08/2019,null
0,807,27/03/2019,null
0,200,06/04/2019,null
0,685,10/11/2019,null
0,378,20/06/2019,null
0,753,03/10/2019,null
0,198,19/01/2019,null
0,537,02/06/2019,null
0,641,09/09/2019,null
0,631,10/02/2019,null
0,159,02/05/2019,null
0,144,18/05/2019,null
0,766,24/08/2019,null
0,865,30/11/2019,null
0,284,04/08/2019,null
0,523,29/10/2019,null
0,269,18/09/2019,null
0,420,24/06/2019,null
0,424,09/03/2019,null
0,441,28/07/2019,null
0,459,28/11/2019,null
0,890,25/01/2019,null
0,437,23/03/2019,null
0,599,18/08/2019,null
0,622,14/12/2019,null
0,331,21/04/2019,null
0,389,20/03/2019,null
0,159,25/12/2019,null
0,636,14/08/2019,null
0,380,26/02/2019,null
0,871,10/02/2019,null
0,439,08/02/2019,null
0,841,02/09/2019,null
0,873,23/10/2019,null
0,483,16/04/2019,null
0,698,05/11/2019,null
0,186,18/06/2019,null
0,311,07/07/2019,null
0,912,25/04/2019,null
0,361,28/12/2019,null
0,248,29/10/2019,null
0,776,14/02/2019,null
0,310,27/09/2019,null
0,867,03/01/2019,null
0,319,02/08/2019,null
0,508,08/05/2019,null
0,243,11/05/2019,null
0,819,13/08/2019,null
0,710,17/02/2019,null
0,875,07/08/2019,null
0,604,14/12/2019,null
0,649,07/10/2019,null
0,527,14/03/2019,null
0,579,01/07/2019,null
0,849,26/06/2019,null
0,350,21/05/2019,null
0,716,02/04/2019,null
0,447,30/06/2019,null
0,980,25/05/2019,null
0,786,30/03/2019,null
0,992,03/07/2019,null
0,795,17/04/2019,null
0,193,16/05/2019,null
0,833,21/07/2019,null
0,734,22/06/2019,null
0,277,08/09/2019,null
0,703,27/02/2019,null
0,438,10/08/2019,null
0,239,22/04/2019,null
0,616,15/10/2019,null
0,391,06/05/2019,null
0,193,06/06/2019,null
0,858,18/06/2019,null
0,326,22/09/2019,null
0,302,25/10/2019,null
0,658,08/02/2019,null
